player,runs,balls_faced,fours,sixes,dismissals,matches,strike_rate,boundary_pct,avg,runs_conceded,legal_balls,wickets,dot_balls,overs,economy,dot_pct,batting_impact,bowling_impact,pii,role,fantasy_points
R Shepherd,58.0,43.0,2.0,5.0,3.0,3.0,134.88,16.28,19.33,98.0,54.0,4.0,26.0,9.0,10.89,48.15,70.864,14.903094582185492,48.48,Batsman,185.0
R Tewatia,217.0,156.0,22.0,9.0,7.0,12.0,139.1,19.87,31.0,76.0,36.0,1.0,6.0,6.0,12.67,16.67,156.42999999999998,6.891063930544593,96.61,Batsman,335.0
RA Bawa,11.0,14.0,1.0,0.0,2.0,2.0,78.57,7.14,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.270999999999997,40.0,33.56,Bowler,8.0
RA Jadeja,116.0,105.0,6.0,5.0,8.0,10.0,110.48,10.48,14.5,252.0,197.0,6.0,70.0,32.8,7.68,35.53,93.34400000000001,14.714333333333336,61.89,Bowler,333.0
RA Tripathi,413.0,271.0,40.0,20.0,12.0,14.0,152.4,22.14,34.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.22,40.0,174.53,All-Rounder,597.0
RD Chahar,77.0,70.0,7.0,4.0,7.0,8.0,110.0,15.71,11.0,365.0,278.0,14.0,109.0,46.3,7.88,39.21,73.7,18.518142131979694,51.63,Bowler,490.5
RD Gaikwad,368.0,298.0,33.0,14.0,14.0,14.0,123.49,15.77,26.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.447,40.0,154.27,All-Rounder,505.0
RG Sharma,268.0,234.0,28.0,13.0,14.0,14.0,114.53,17.52,19.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.559,40.0,121.94,All-Rounder,366.0
RK Singh,174.0,125.0,17.0,7.0,5.0,7.0,139.2,19.2,34.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.56,40.0,96.14,All-Rounder,235.0
RM Patidar,333.0,232.0,27.0,18.0,6.0,7.0,143.53,19.4,55.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.559,40.0,147.14,All-Rounder,480.0
RP Meredith,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,241.0,163.0,10.0,89.0,27.2,8.87,54.6,0.0,19.42958286358512,7.77,Bowler,292.5
RR Pant,340.0,234.0,35.0,16.0,13.0,13.0,145.3,21.79,26.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.79,40.0,150.27,All-Rounder,477.0
RV Patel,6.0,3.0,0.0,1.0,1.0,1.0,200.0,33.33,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.2,40.0,53.92,All-Rounder,6.0
RV Uthappa,230.0,181.0,19.0,14.0,11.0,11.0,127.07,18.23,20.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.72099999999998,40.0,111.83,All-Rounder,319.0
Ramandeep Singh,45.0,42.0,3.0,1.0,2.0,4.0,107.14,9.52,22.5,55.0,35.0,6.0,18.0,5.8,9.43,51.43,55.44199999999999,16.927781548250266,40.04,Bowler,205.0
Rashid Khan,91.0,44.0,3.0,9.0,4.0,8.0,206.82,27.27,22.75,428.0,379.0,20.0,130.0,63.2,6.78,34.3,109.946,20.75970501474926,74.27,All-Rounder,677.0
Rasikh Salam,7.0,6.0,1.0,0.0,1.0,1.0,116.67,16.67,7.0,28.0,24.0,0.0,8.0,4.0,7.0,33.33,38.701,12.380285714285714,28.17,Bowler,10.0
Ravi Bishnoi,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,462.0,321.0,14.0,128.0,53.5,8.64,39.88,0.0,18.20562962962963,7.28,Bowler,414.0
S Dhawan,460.0,395.0,47.0,12.0,12.0,14.0,116.46,14.94,38.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.738,40.0,182.04,All-Rounder,643.0
S Dube,289.0,194.0,22.0,16.0,9.0,11.0,148.97,19.59,32.11,40.0,11.0,0.0,3.0,1.8,21.82,27.27,196.791,7.287180568285977,120.99,Batsman,398.5
S Gopal,9.0,7.0,2.0,0.0,0.0,1.0,128.57,28.57,9.0,34.0,18.0,1.0,7.0,3.0,11.33,38.89,43.471,11.708450132391881,30.77,Batsman,39.5
S Kaul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,24.0,0.0,6.0,4.0,10.75,25.0,0.0,8.720930232558139,3.49,Batsman,3.0
SA Abbott,7.0,5.0,0.0,1.0,1.0,1.0,140.0,20.0,7.0,47.0,24.0,1.0,10.0,4.0,11.75,41.67,45.7,12.138255319148938,32.28,Batsman,37.0
SA Yadav,303.0,210.0,23.0,16.0,8.0,8.0,144.29,18.57,37.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.58700000000002,40.0,137.55,All-Rounder,438.0
SE Rutherford,33.0,52.0,1.0,1.0,2.0,2.0,63.46,3.85,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.937999999999995,40.0,37.56,Bowler,32.0
SN Khan,91.0,69.0,9.0,2.0,3.0,5.0,131.88,15.94,30.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.264,40.0,68.36,All-Rounder,106.0
SN Thakur,120.0,90.0,7.0,7.0,8.0,10.0,133.33,15.56,15.0,485.0,282.0,16.0,133.0,47.0,10.32,47.16,102.79899999999999,19.707968992248063,69.56,All-Rounder,623.5
